k141_1600980	MBR1805652.1	87.500	104	13	0	1	104	34	137	7.37e-55	180	92.31
k141_6083724	MBQ3749676.1	93.333	165	11	0	1	165	540	704	5.83e-104	327	96.36
k141_6083724	MBR3572669.1	93.333	165	11	0	1	165	540	704	1.14e-103	326	96.36
k141_6083724	MBO4488183.1	72.121	165	45	1	1	165	550	713	2.08e-76	254	82.42
k141_6083724	MBR6334287.1	67.879	165	52	1	1	165	554	717	1.19e-74	250	83.64
k141_6083724	MBO7444878.1	67.879	165	52	1	1	165	554	717	1.64e-74	249	83.64
k141_1	CEO98484.1	71.795	39	11	0	54	92	1	39	1.24e-07	57.4	74.36
k141_1	KAF7117205.1	72.973	37	10	0	49	85	4	40	3.68e-06	53.5	75.68
k141_1	KAF5796783.1	72.973	37	10	0	49	85	99	135	4.82e-06	54.3	75.68
k141_1	KAI0529308.1	70.270	37	11	0	49	85	37	73	1.02e-05	51.6	72.97
k141_1	TYJ05218.1	70.270	37	11	0	49	85	7	43	2.40e-05	50.4	72.97
k141_1600981	MBR5113698.1	93.382	136	9	0	43	178	117	252	1.22e-78	258	96.32
k141_1600981	MCR5648888.1	92.647	136	10	0	43	178	117	252	5.53e-78	256	95.59
k141_1600981	MBR6312904.1	91.912	136	11	0	43	178	117	252	3.20e-77	254	94.85
k141_1600981	MBO6011126.1	91.176	136	11	1	43	178	117	251	3.41e-73	244	92.65
k141_1600981	MBR2328786.1	58.219	146	51	2	43	178	119	264	3.99e-48	170	70.55
k141_4482745	OLA23924.1	37.234	94	55	3	86	177	14	105	2.78e-04	52.8	59.57
k141_8645289	MBP5458064.1	55.556	81	35	1	7	87	171	250	2.49e-20	93.6	79.01
k141_8645289	MCD8206310.1	55.556	72	32	0	16	87	178	249	2.39e-18	88.2	77.78
k141_8645289	DAD66515.1	51.316	76	34	1	13	85	166	241	5.26e-17	84.7	75.00
k141_8645289	DAF44156.1	50.649	77	35	1	13	86	176	252	5.90e-17	84.7	75.32
k141_8645289	UVM93624.1	50.649	77	35	1	13	86	166	242	5.97e-17	84.3	75.32
k141_6403921	AOE07153.1	60.656	61	24	0	19	79	1	61	8.51e-13	67.8	68.85
k141_6403921	AOE11685.1	64.286	56	20	0	24	79	2	57	2.32e-12	66.6	73.21
k141_6403921	AOE06873.1	57.377	61	26	0	19	79	1	61	5.23e-11	63.2	67.21
k141_6403921	AOE06245.1	71.429	42	12	0	38	79	7	48	1.95e-09	59.3	80.95
k141_6403921	KAF7275070.1	78.788	33	7	0	47	79	31	63	5.58e-07	53.5	81.82
k141_7684703	OOM35900.1	51.765	85	36	2	5	89	56	135	7.21e-10	66.2	58.82
k141_7684703	OOM51332.1	50.588	85	37	2	5	89	56	135	1.45e-09	65.5	58.82
k141_3	WP_204398509.1	62.745	51	14	1	72	117	1	51	4.66e-13	70.9	80.39
k141_3	MBO7375575.1	69.767	43	13	0	75	117	3	45	9.39e-13	70.1	81.40
k141_3	MBQ2881881.1	67.442	43	14	0	75	117	2	44	9.77e-13	70.1	88.37
k141_3	MCL2041530.1	69.565	46	14	0	72	117	1	46	1.47e-12	69.3	78.26
k141_3	MBR4794156.1	68.889	45	14	0	73	117	4	48	1.74e-12	69.3	77.78
k141_4162550	SAC80206.1	44.444	108	60	0	1	108	43	150	3.11e-21	94.4	62.04
k141_4162550	CAH0239658.1	44.444	108	60	0	1	108	43	150	2.05e-19	89.0	59.26
k141_4162550	SBF33688.1	43.519	108	61	0	1	108	121	228	6.84e-19	89.4	59.26
k141_4162550	EPS11052.1	40.741	108	64	0	1	108	164	271	6.83e-18	87.8	58.33
k141_4162550	OQB91308.1	45.714	105	57	0	1	105	78	182	9.11e-18	86.7	63.81
k141_8004899	KAH8059210.1	45.588	68	37	0	19	86	832	899	0.002	48.5	57.35
k141_2881765	MBR5160880.1	91.111	45	4	0	80	124	1	45	3.34e-18	84.3	95.56
k141_2881765	MBR6437507.1	91.111	45	4	0	80	124	1	45	4.23e-18	84.7	95.56
k141_2881765	MBR5711382.1	84.444	45	7	0	80	124	1	45	4.32e-15	81.6	91.11
k141_2881765	MBQ2622679.1	84.444	45	7	0	80	124	1	45	4.32e-15	81.6	91.11
k141_2881765	MBQ2622701.1	73.333	45	12	0	80	124	1	45	8.21e-13	75.5	86.67
k141_4802944	MBQ7218471.1	73.094	223	56	2	3	221	747	969	6.81e-106	338	83.86
k141_4802944	MBQ9516440.1	72.646	223	57	2	3	221	747	969	1.33e-105	337	83.86
k141_4802944	MBR1534514.1	71.689	219	60	1	3	221	708	924	1.46e-104	334	85.84
k141_4802944	MBQ3418465.1	71.041	221	58	1	7	221	711	931	2.06e-101	325	81.90
k141_4802944	MBQ6153775.1	71.163	215	62	0	7	221	711	925	1.80e-100	323	82.79
k141_8645293	SJM96439.1	82.609	23	4	0	1	23	17	39	4.14e-04	45.4	91.30
k141_8645293	EEF80353.1	90.476	21	2	0	1	21	22	42	6.53e-04	45.1	95.24
k141_8645293	CEP67090.1	86.957	23	3	0	1	23	66	88	0.002	46.2	91.30
k141_8645293	EDN76692.1	86.364	22	3	0	1	22	117	138	0.003	45.8	90.91
k141_1921177	MBD5178294.1	63.462	52	19	0	1	52	75	126	1.16e-14	81.6	82.69
k141_1921177	WP_075964968.1	59.615	52	21	0	1	52	118	169	2.35e-14	82.0	84.62
k141_1921177	MBR5082744.1	67.347	49	16	0	1	49	118	166	3.05e-14	81.6	81.63
k141_1921177	MBQ6307571.1	68.000	50	16	0	1	50	118	167	3.24e-14	81.6	80.00
k141_1921177	MBD5187490.1	63.462	52	19	0	1	52	123	174	4.44e-14	81.3	82.69
k141_5763530	MBR3096343.1	98.261	115	2	0	1	115	23	137	4.87e-77	236	99.13
k141_5763530	MBR2228289.1	98.261	115	2	0	1	115	23	137	1.55e-74	240	99.13
k141_5763530	MBO6029772.1	98.261	115	2	0	1	115	23	137	6.66e-74	242	99.13
k141_5763530	MBR4687333.1	98.261	115	2	0	1	115	23	137	1.28e-73	241	99.13
k141_5763530	MBR6864045.1	97.391	115	3	0	1	115	23	137	2.19e-73	240	100.00
k141_9285678	MBQ9470719.1	94.118	51	3	0	1	51	93	143	5.46e-21	99.8	94.12
k141_9285678	MBO7074034.1	100.000	47	0	0	1	47	291	337	1.60e-20	103	100.00
k141_9285678	MBQ6306581.1	100.000	47	0	0	1	47	291	337	1.99e-20	103	100.00
k141_9285678	MBO6025735.1	95.745	47	2	0	1	47	123	169	1.94e-19	96.3	95.74
k141_9285678	MBQ5957898.1	95.745	47	2	0	1	47	291	337	2.30e-18	97.4	95.74
k141_8325092	MBQ3703903.1	84.783	184	28	0	119	302	1	184	2.85e-110	332	92.93
k141_8325092	MCR5844201.1	83.152	184	31	0	119	302	1	184	2.66e-107	324	91.30
k141_8325092	MBR6352774.1	74.332	187	48	0	119	305	1	187	6.28e-96	295	86.10
k141_8325092	MBQ7692782.1	75.543	184	45	0	119	302	1	184	7.72e-95	292	85.33
k141_8325092	MCI7624079.1	75.275	182	45	0	119	300	1	182	9.11e-95	292	86.26
k141_2881766	MBR5684840.1	94.118	102	6	0	1	102	96	197	5.55e-62	197	97.06
k141_2881766	MBR5673052.1	94.286	105	6	0	1	105	686	790	1.75e-59	206	99.05
k141_2881766	HAP50434.1	83.810	105	16	1	1	105	19	122	1.65e-56	181	91.43
k141_2881766	MBQ1485282.1	87.619	105	13	0	1	105	464	568	3.11e-55	191	94.29
k141_2881766	MBQ6079787.1	90.196	102	10	0	1	102	689	790	9.89e-55	192	96.08
k141_6403923	HIX71741.1	53.927	191	84	2	15	201	272	462	4.61e-56	197	73.82
k141_6403923	MBS6723237.1	53.403	191	85	2	15	201	272	462	3.36e-55	195	73.30
k141_6403923	CDE74399.1	51.256	199	94	1	6	201	263	461	8.71e-55	194	73.87
k141_6403923	WP_028528095.1	51.244	201	94	2	5	201	262	462	1.37e-54	193	70.65
k141_6403923	MBD9098450.1	52.632	190	87	1	15	201	272	461	5.52e-54	192	75.26
k141_4802945	WP_215630006.1	37.615	109	68	0	1	109	257	365	4.51e-18	90.1	64.22
k141_4802945	MBQ3556568.1	41.441	111	65	0	1	111	254	364	5.42e-18	89.7	57.66
k141_4802945	WP_195416475.1	37.615	109	68	0	1	109	257	365	1.23e-17	89.0	64.22
k141_4802945	WP_048928981.1	36.697	109	69	0	1	109	257	365	2.69e-17	87.8	63.30
k141_4802945	MBO5944191.1	39.252	107	65	0	1	107	254	360	3.40e-17	87.4	59.81
k141_8645294	MBO7504748.1	95.082	61	3	0	1	61	57	117	1.65e-25	104	96.72
k141_8645294	MBO7095190.1	93.443	61	4	0	1	61	78	138	1.60e-24	102	95.08
k141_5443335	MBR5773086.1	88.235	119	14	0	1	119	56	174	2.68e-71	224	94.96
k141_5443335	MBO4341957.1	88.235	119	14	0	1	119	286	404	7.15e-69	225	94.96
k141_5443335	MBQ6466687.1	88.235	119	14	0	1	119	286	404	1.50e-68	224	94.12
k141_5443335	MBR0112522.1	86.555	119	16	0	1	119	287	405	6.01e-68	222	92.44
